date,btcusdt_close,ethusdt_close
2023-09-07,26255.0,1648.11
2023-09-08,25910.5,1636.44
2023-09-09,25901.61,1635.54
2023-09-10,25841.61,1617.42
2023-09-11,25162.52,1551.85
2023-09-12,25840.1,1592.97
2023-09-13,26222.0,1607.62
2023-09-14,26522.73,1626.47
2023-09-15,26600.0,1641.29
2023-09-16,26559.67,1634.4
2023-09-17,26527.51,1622.48
2023-09-18,26762.51,1636.66
2023-09-19,27210.26,1643.12
2023-09-20,27125.0,1622.26
2023-09-21,26568.08,1583.94
2023-09-22,26580.14,1593.08
2023-09-23,26575.96,1593.86
2023-09-24,26248.38,1580.71
2023-09-25,26304.81,1588.33
2023-09-26,26221.67,1594.01
2023-09-27,26372.99,1598.64
2023-09-28,27021.39,1652.99
2023-09-29,26906.96,1667.45
2023-09-30,26962.56,1670.89
2023-10-01,27992.57,1733.79
2023-10-02,27494.51,1662.4
2023-10-03,27426.46,1656.88
2023-10-04,27778.57,1646.58
2023-10-05,27410.39,1611.79
2023-10-06,27931.09,1645.03
2023-10-07,27956.67,1633.57
2023-10-08,27917.05,1632.84
2023-10-09,27590.12,1580.13
2023-10-10,27390.12,1567.63
2023-10-11,26875.52,1566.87
2023-10-12,26759.63,1539.61
2023-10-13,26862.0,1552.16
2023-10-14,26852.48,1554.94
2023-10-15,27154.15,1557.77
2023-10-16,28500.78,1599.42
2023-10-17,28395.91,1565.01
2023-10-18,28320.0,1563.44
2023-10-19,28713.71,1566.57
2023-10-20,29669.04,1603.89
2023-10-21,29909.8,1628.94
2023-10-22,29992.46,1663.7
2023-10-23,33069.99,1765.46
2023-10-24,33922.73,1784.98
2023-10-25,34496.05,1787.15
2023-10-26,34151.66,1803.38
2023-10-27,33892.02,1779.4
2023-10-28,34081.0,1776.2
2023-10-29,34525.89,1795.14
2023-10-30,34474.73,1809.04
2023-10-31,34639.77,1814.67
2023-11-01,35421.43,1846.99
2023-11-02,34941.59,1800.8
2023-11-03,34716.78,1832.71
2023-11-04,35062.07,1855.54
2023-11-05,35011.88,1891.71
2023-11-06,35046.09,1900.95
2023-11-07,35399.12,1885.27
2023-11-08,35624.72,1888.12
2023-11-09,36701.09,2121.32
2023-11-10,37301.63,2077.72
2023-11-11,37130.0,2053.17
2023-11-12,37064.13,2044.68
2023-11-13,36462.93,2053.65
2023-11-14,35551.19,1979.39
2023-11-15,37858.2,2058.48
2023-11-16,36163.51,1961.77
2023-11-17,36613.92,1960.82
2023-11-18,36568.1,1962.6
2023-11-19,37359.86,2011.47
2023-11-20,37448.78,2021.4
2023-11-21,35741.65,1933.01
2023-11-22,37408.34,2063.21
2023-11-23,37294.28,2062.2
2023-11-24,37713.57,2080.84
2023-11-25,37780.67,2083.09
2023-11-26,37447.43,2062.33
2023-11-27,37242.7,2027.5
2023-11-28,37818.87,2048.14
2023-11-29,37854.64,2028.81
2023-11-30,37723.96,2051.96
2023-12-01,38682.52,2087.24
2023-12-02,39450.35,2164.74
2023-12-03,39972.26,2192.95
2023-12-04,41991.1,2243.37
2023-12-05,44073.32,2293.33
2023-12-06,43762.69,2232.7
2023-12-07,43273.14,2355.73
2023-12-08,44170.99,2358.72
2023-12-09,43713.6,2340.49
2023-12-10,43789.51,2352.39
2023-12-11,41253.4,2225.12
2023-12-12,41492.39,2203.46
2023-12-13,42869.03,2260.16
2023-12-14,43022.26,2315.32
2023-12-15,41940.3,2220.5
2023-12-16,42278.03,2228.96
2023-12-17,41374.65,2196.52
2023-12-18,42657.8,2219.43
2023-12-19,42275.99,2177.91
2023-12-20,43668.93,2202.17
2023-12-21,43861.8,2239.61
2023-12-22,43969.04,2324.54
2023-12-23,43702.16,2308.2
2023-12-24,42991.5,2264.05
2023-12-25,43576.13,2271.35
2023-12-26,42508.93,2230.88
2023-12-27,43428.85,2378.35
2023-12-28,42563.76,2344.15
